,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category
2332,수도권본부,경기도 남양주시 삼패동 297ㅡ6,중앙선,446.0,활용,미사용,미사용,계획없음
2333,수도권본부,경기도 남양주시 삼패동 299ㅡ2,중앙선,387.0,활용,미사용,미사용,계획없음
2334,수도권본부,경기도 남양주시 삼패동 299ㅡ5,중앙선,317.0,활용,미사용,미사용,계획없음
2336,수도권본부,경기도 남양주시 삼패동 300ㅡ2,중앙선,694.0,활용,미사용,미사용,계획없음
2337,수도권본부,경기도 남양주시 삼패동 303ㅡ4,중앙선,26.0,활용,미사용,미사용,계획없음
2338,수도권본부,경기도 남양주시 삼패동 304ㅡ2,중앙선,383.0,활용,미사용,미사용,계획없음
2339,수도권본부,경기도 남양주시 삼패동 305ㅡ1,중앙선,2.0,활용,미사용,미사용,계획없음
2340,수도권본부,경기도 남양주시 삼패동 305ㅡ12,중앙선,466.0,활용,미사용,미사용,계획없음
2341,수도권본부,경기도 남양주시 삼패동 305ㅡ7,중앙선,248.0,활용,미사용,미사용,계획없음
2342,수도권본부,경기도 남양주시 삼패동 305ㅡ8,중앙선,50.0,활용,미사용,미사용,계획없음
2343,수도권본부,경기도 남양주시 삼패동 312ㅡ2,중앙선,314.0,활용,미사용,미사용,계획없음
2344,수도권본부,경기도 남양주시 삼패동 333ㅡ12,중앙선,169.0,활용,미사용,미사용,계획없음
2345,수도권본부,경기도 남양주시 삼패동 333ㅡ13,중앙선,7.0,활용,미사용,미사용,계획없음
2346,수도권본부,경기도 남양주시 삼패동 333ㅡ2,중앙선,274.0,활용,미사용,미사용,계획없음
2348,수도권본부,경기도 남양주시 삼패동 336ㅡ3,중앙선,26.0,활용,미사용,미사용,계획없음
2349,수도권본부,경기도 남양주시 삼패동 341ㅡ1,중앙선,93.0,활용,미사용,미사용,계획없음
2351,수도권본부,경기도 남양주시 삼패동 456ㅡ11,중앙선,549.0,활용,미사용,미사용,계획없음
2352,수도권본부,경기도 남양주시 삼패동 499ㅡ2,중앙선,172.0,활용,미사용,미사용,계획없음
2355,수도권본부,경기도 남양주시 삼패동 산 42ㅡ3,중앙선,33.0,활용,미사용,미사용,계획없음
2356,수도권본부,경기도 남양주시 와부읍 덕소리 산 55ㅡ2,중앙선,2797.0,활용,미사용,미사용,계획없음
2358,수도권본부,경기도 남양주시 와부읍 도곡리 1057ㅡ4,중앙선,48.0,활용,미사용,미사용,계획없음
